,0 Present day longitude (degrees),1 Present day latitude (degrees),2 Reconstructed longitude (degrees),3 Reconstructed latitude (degrees),4 Age (Ma),5 Time before mineralisation (Myr),6 Seafloor age (Myr),7 Segment length (km),8 Slab length (km),9 Distance to trench edge (km),10 Subducting plate normal velocity (km/Myr),11 Subducting plate parallel velocity (km/Myr),12 Overriding plate normal velocity (km/Myr),13 Overriding plate parallel velocity (km/Myr),14 Convergence normal rate (km/Myr),15 Convergence parallel rate (km/Myr),16 Subduction polarity (degrees),17 Subduction obliquity (degrees),18 Distance along margin (km),19 Subduction obliquity signed (radians),20 Ore Deposits Binary Flag (1 or 0)
0,-75.54534777777778,-43.888934444444445,-74.8226823546833,-44.44988136401274,0.0,4.5,16.069896991805752,55.11844777777778,434.6919165555555,434.6919165555555,76.99367691358026,33.54743580246913,-13.499223209876543,12.894516790123456,89.98693135802469,21.078763209876545,3.6328372222222227,14.106513333333334,274.58156999999994,0.22892849248092884,0.0
1,-75.54534777777778,-43.888934444444445,-72.94950338786258,-45.74056064233734,0.0,14.5,25.395782095457783,55.16697222222223,884.035606888889,884.035606888889,94.90700644444443,41.22608544444444,-17.767812,13.955702777777777,111.22711255555555,29.582062,3.4648494444444444,15.810291444444445,274.58156999999994,0.25207581764762255,0.0
2,-75.54534777777778,-43.888934444444445,-70.3943287041787,-47.1688541353732,0.0,24.5,34.92816777070414,55.183796333333326,884.1088001111111,884.1088001111111,61.48336677777778,49.428014777777776,-21.33263611111111,14.664537444444443,77.17595611111112,33.41897111111111,2.7673754444444443,25.980084111111108,274.58156999999994,0.4475220357100776,0.0
3,-75.54534777777778,-43.888934444444445,-67.4499598260183,-48.05970498360275,0.0,34.5,32.28455147737343,55.18341922222222,883.649456111111,883.649456111111,1.892475000000004,31.44311511111112,-22.43473722222222,2.594607555555556,15.894876888888891,19.875615111111113,1.7547078888888887,39.02216122222222,274.58156999999994,-0.15605568079120455,0.0
4,-75.54534777777778,-43.888934444444445,-64.98690317784778,-48.925739041792596,0.0,44.5,25.68938896564441,59.27740688888889,1837.7501292222223,1837.7501292222223,17.554548666666665,34.02046877777778,-13.491631000000002,15.956121444444445,18.705016333333333,1.9328551111111114,1.9709785555555555,20.867063777777776,274.58156999999994,0.2125527056950874,0.0
5,-75.54534777777778,-43.888934444444445,-63.24384966363094,-48.259458350255635,0.0,54.5,19.40546163320858,57.610093555555544,1223.684489222222,1185.6935616666665,-17.333107000000002,-36.58467866666667,-11.592231777777778,-30.68193911111111,-12.864260888888888,-28.68724388888889,4.619602333333333,59.418329777777785,274.58156999999994,0.2644915689792039,0.0
6,-75.54534777777778,-43.888934444444445,-61.152865796328285,-46.37744314134269,0.0,64.5,9.285400304789809,60.56449133333335,832.8955206666667,105.39077833333336,-20.208713777777778,6.2735233333333325,-18.673909555555557,-9.57420011111111,-5.1182615555555575,1.1497905555555548,7.613209555555555,28.639643999999997,274.58156999999994,-0.04044397003187895,0.0
7,-75.54534777777778,-43.888934444444445,-56.5397457627965,-46.758245399955825,0.0,74.5,8.230890702860055,63.653002,1541.13308,95.99970011111111,-12.252618444444446,7.47840711111111,-45.12935522222222,4.572173111111111,31.189522888888888,-1.3276512222222219,6.085503,26.05733722222222,274.58156999999994,-0.3267305731342759,0.0
8,-75.54534777777778,-43.888934444444445,-50.141052462507815,-47.72760488300215,0.0,84.5,15.374947637221553,59.197480888888876,1373.1613962222223,756.4055275555554,-6.628940666666665,56.547830555555535,-54.70765188888889,10.606736555555555,31.299650222222226,53.669740888888896,3.4898562222222225,57.81184355555556,274.58156999999994,0.10524917701992367,0.0
9,-75.54534777777778,-43.888934444444445,-43.5807029479963,-48.75672147818233,0.0,94.5,14.175755861184253,56.96777977777778,1103.4359313333334,475.9690864444445,49.78982633333334,171.93218577777776,-37.40013288888888,6.301165222222222,27.75208144444444,213.44058811111114,-0.5435583333333331,80.11645466666667,274.58156999999994,0.6692079867058427,0.0
